service_date,day_type,bus,rail_boardings,total_rides
01/01/2013,U,338644,276167,614811
01/02/2013,W,747631,570506,1318137
01/03/2013,W,857744,620104,1477848
01/04/2013,W,875485,635401,1510886
01/05/2013,A,549303,356383,905686
01/06/2013,U,399770,264957,664727
01/07/2013,W,951511,672001,1623512
01/08/2013,W,975824,687261,1663085
01/09/2013,W,989291,697979,1687270
01/10/2013,W,964506,693642,1658148
01/11/2013,W,991875,708901,1700776
01/12/2013,A,597811,403037,1000848
01/13/2013,U,379108,266395,645503
01/14/2013,W,964972,701958,1666930
01/15/2013,W,1000831,723460,1724291
01/16/2013,W,1000782,726032,1726814
01/17/2013,W,1003351,730830,1734181
01/18/2013,W,995226,721526,1716752
01/19/2013,A,592561,417820,1010381
01/20/2013,U,372131,275860,647991
01/21/2013,W,549385,422125,971510
01/22/2013,W,865232,654679,1519911
01/23/2013,W,952105,697385,1649490
01/24/2013,W,958057,708729,1666786
01/25/2013,W,920833,707962,1628795
01/26/2013,A,560544,393542,954086
01/27/2013,U,360109,261812,621921
01/28/2013,W,1000004,718545,1718549
01/29/2013,W,1009440,728633,1738073
01/30/2013,W,997461,735084,1732545
01/31/2013,W,955113,713918,1669031
02/01/2013,W,878531,659888,1538419
02/02/2013,A,554095,378484,932579
02/03/2013,U,396422,271153,667575
02/04/2013,W,983474,710890,1694364
02/05/2013,W,1021386,733180,1754566
02/06/2013,W,1035100,739979,1775079
02/07/2013,W,973458,743264,1716722
02/08/2013,W,994675,723430,1718105
02/09/2013,A,611263,426081,1037344
02/10/2013,U,392914,278417,671331
02/11/2013,W,994224,708331,1702555
02/12/2013,W,901097,687334,1588431
02/13/2013,W,1070447,754178,1824625
02/14/2013,W,1054969,758213,1813182
02/15/2013,W,1013485,731689,1745174
02/16/2013,A,598259,412929,1011188
02/17/2013,U,445505,317885,763390
02/18/2013,W,830133,567064,1397197
02/19/2013,W,961489,709244,1670733
02/20/2013,W,995286,720364,1715650
02/21/2013,W,1012672,738526,1751198
02/22/2013,W,944394,716784,1661178
02/23/2013,A,597852,403004,1000856
02/24/2013,U,426783,280619,707402
02/25/2013,W,1032337,718035,1750372
02/26/2013,W,917610,707649,1625259
02/27/2013,W,1004620,732706,1737326
02/28/2013,W,1011461,741077,1752538
03/01/2013,W,1030897,726385,1757282
03/02/2013,A,641791,407706,1049497
03/03/2013,U,451612,290260,741872
03/04/2013,W,1046582,684343,1730925
03/05/2013,W,915814,662182,1577996
03/06/2013,W,1000963,703897,1704860
03/07/2013,W,1039889,724517,1764406
03/08/2013,W,1047924,716118,1764042
03/09/2013,A,619396,404506,1023902
03/10/2013,U,417260,285624,702884
03/11/2013,W,1009909,713865,1723774
03/12/2013,W,1017656,738907,1756563
03/13/2013,W,1034585,748618,1783203
03/14/2013,W,1033042,755471,1788513
03/15/2013,W,1002907,771603,1774510
03/16/2013,A,626782,610526,1237308
03/17/2013,U,433504,338473,771977
03/18/2013,W,971804,715696,1687500
03/19/2013,W,990010,723671,1713681
03/20/2013,W,980735,721345,1702080
03/21/2013,W,999714,729901,1729615
03/22/2013,W,1003565,721149,1724714
03/23/2013,A,609394,425222,1034616
03/24/2013,U,401250,288966,690216
03/25/2013,W,828707,630136,1458843
03/26/2013,W,876069,655138,1531207
03/27/2013,W,880496,670282,1550778
03/28/2013,W,893443,679530,1572973
03/29/2013,W,829810,621657,1451467
03/30/2013,A,594213,395747,989960
03/31/2013,U,402842,267293,670135
04/01/2013,W,980489,708026,1688515
04/02/2013,W,993149,728501,1721650
04/03/2013,W,1034924,746014,1780938
04/04/2013,W,1015284,759059,1774343
04/05/2013,W,996072,746786,1742858
04/06/2013,A,611381,459388,1070769
04/07/2013,U,440588,357215,797803
04/08/2013,W,977325,737437,1714762
04/09/2013,W,999444,740720,1740164
04/10/2013,W,960903,717466,1678369
04/11/2013,W,982894,752525,1735419
04/12/2013,W,994973,753498,1748471
04/13/2013,A,600393,462508,1062901
04/14/2013,U,450337,351742,802079
04/15/2013,W,992589,717933,1710522
04/16/2013,W,1014884,753356,1768240
04/17/2013,W,915006,711500,1626506
04/18/2013,W,811655,693760,1505415
04/19/2013,W,959757,718526,1678283
04/20/2013,A,615433,448035,1063468
04/21/2013,U,441267,313744,755011
04/22/2013,W,1001200,731504,1732704
04/23/2013,W,922329,715764,1638093
04/24/2013,W,952859,736305,1689164
04/25/2013,W,1008224,755375,1763599
04/26/2013,W,999388,750687,1750075
04/27/2013,A,654086,460650,1114736
04/28/2013,U,455561,320737,776298
04/29/2013,W,1009306,717625,1726931
04/30/2013,W,1029285,738733,1768018
05/01/2013,W,1077184,762553,1839737
05/02/2013,W,1028782,752135,1780917
05/03/2013,W,1023402,730511,1753913
05/04/2013,A,655097,465245,1120342
05/05/2013,U,471437,350222,821659
05/06/2013,W,1017895,729615,1747510
05/07/2013,W,1022360,758068,1780428
05/08/2013,W,1025713,769649,1795362
05/09/2013,W,1003192,721753,1724945
05/10/2013,W,972916,725511,1698427
05/11/2013,A,603110,435938,1039048
05/12/2013,U,414976,313848,728824
05/13/2013,W,961814,713048,1674862
05/14/2013,W,1006636,750210,1756846
05/15/2013,W,995042,758657,1753699
05/16/2013,W,982565,746034,1728599
05/17/2013,W,966483,757439,1723922
05/18/2013,A,625752,493226,1118978
05/19/2013,U,485211,363850,849061
05/20/2013,W,1008704,681176,1689880
05/21/2013,W,1013059,689412,1702471
05/22/2013,W,982149,687729,1669878
05/23/2013,W,987008,693752,1680760
05/24/2013,W,1010765,676692,1687457
05/25/2013,A,600972,369584,970556
05/26/2013,U,460009,336563,796572
05/27/2013,U,415696,286211,701907
05/28/2013,W,982424,672485,1654909
05/29/2013,W,1014424,715430,1729854
05/30/2013,W,996198,717726,1713924
05/31/2013,W,1044620,719350,1763970
06/01/2013,A,631022,445218,1076240
06/02/2013,U,439719,333835,773554
06/03/2013,W,1054416,707210,1761626
06/04/2013,W,1044555,716102,1760657
06/05/2013,W,1024709,716938,1741647
06/06/2013,W,1021552,736943,1758495
06/07/2013,W,1030362,768035,1798397
06/08/2013,A,661759,537485,1199244
06/09/2013,U,473625,393881,867506
06/10/2013,W,993550,731202,1724752
06/11/2013,W,1027027,752653,1779680
06/12/2013,W,969474,718831,1688305
06/13/2013,W,1031992,761985,1793977
06/14/2013,W,1033513,747980,1781493
06/15/2013,A,624345,453140,1077485
06/16/2013,U,479896,369569,849465
06/17/2013,W,969085,692856,1661941
