route,hour,minute,lat,lon,year,month,day
1,15,56,41.87820816040039,-87.62768130832248,2024,8,12
2,15,56,41.893381690979005,-87.62379951477051,2024,8,12
3,15,56,41.754579030550445,-87.61495326115535,2024,8,12
4,15,56,41.694590864510374,-87.60933053904566,2024,8,12
X4,15,56,41.721920013427734,-87.60874938964844,2024,8,12
6,15,56,41.88814,-87.62220666666667,2024,8,12
7,15,56,41.87208938598633,-87.72856412615094,2024,8,12
8,15,56,41.884830474853516,-87.64745330810547,2024,8,12
8A,15,56,41.7510986328125,-87.62751770019531,2024,8,12
9,15,56,41.74437975883484,-87.66321229934692,2024,8,12
X9,15,56,41.95396839488637,-87.6691665649414,2024,8,12
10,15,56,41.80575942993164,-87.58441162109375,2024,8,12
11,15,56,41.99448290738192,-87.71405098655008,2024,8,12
12,15,56,41.86566162109375,-87.76431274414062,2024,8,12
J14,15,56,41.883201599121094,-87.6362525353065,2024,8,12
15,15,56,41.79323351061022,-87.58664352829392,2024,8,12
18,15,56,41.85905615963153,-87.70615865223444,2024,8,12
20,15,56,41.880367279052734,-87.75944818769183,2024,8,12
21,15,56,41.84809333333333,-87.80926666666667,2024,8,12
22,15,56,41.873313903808594,-87.63068389892578,2024,8,12
24,15,56,41.75823826260037,-87.63122699878834,2024,8,12
26,15,56,41.88763791864569,-87.62463621659712,2024,8,12
28,15,56,41.809335,-87.59147833333333,2024,8,12
29,15,56,41.74354934692383,-87.62432861328125,2024,8,12
30,15,56,41.752071693295335,-87.58651620833601,2024,8,12
31,15,56,41.838703510373136,-87.66471596651299,2024,8,12
34,15,56,41.6658206808156,-87.6199951171875,2024,8,12
35,15,56,41.839056666666664,-87.60780833333334,2024,8,12
36,15,56,41.9981689453125,-87.66189880371094,2024,8,12
37,15,56,41.92525863647461,-87.65345764160156,2024,8,12
39,15,56,41.822736666666664,-87.60240666666667,2024,8,12
43,15,56,41.81760025024414,-87.64556884765625,2024,8,12
44,15,56,41.742496490478516,-87.65350341796875,2024,8,12
47,15,56,41.809622573852536,-87.5918586730957,2024,8,12
48,15,56,41.755677098813266,-87.67327117919922,2024,8,12
49,15,56,41.978285,-87.68992666666666,2024,8,12
49B,15,56,41.99538774843569,-87.68975547507956,2024,8,12
X49,15,56,41.97313372294108,-87.68910344441731,2024,8,12
50,15,56,41.98596833333333,-87.669545,2024,8,12
51,15,56,41.80158386230469,-87.64771022796631,2024,8,12
52,15,56,41.778185,-87.70343166666666,2024,8,12
52A,15,56,41.79785531254138,-87.70372772216797,2024,8,12
53,15,56,41.83708572387695,-87.72429656982422,2024,8,12
53A,15,56,41.79090520497915,-87.72303009033203,2024,8,12
54,15,56,41.86179054260254,-87.74454498291016,2024,8,12
54A,15,56,42.017541920055045,-87.74764251708984,2024,8,12
54B,15,56,41.776638666788735,-87.7421277364095,2024,8,12
55,15,56,41.79505499478044,-87.606555149473,2024,8,12
55A,15,56,41.78659439086914,-87.7391357421875,2024,8,12
55N,15,56,41.79251708984375,-87.78025868733724,2024,8,12
56,15,56,41.89128589630127,-87.64762306213379,2024,8,12
57,15,56,41.89887619018555,-87.75569152832031,2024,8,12
59,15,56,41.784157994967785,-87.59682874537226,2024,8,12
60,15,56,41.846585,-87.74447166666667,2024,8,12
62,15,56,41.79777002334595,-87.74847841262817,2024,8,12
62H,15,56,41.785682678222656,-87.73958709716797,2024,8,12
63,15,56,41.77907180786133,-87.69574664887928,2024,8,12
63W,15,56,41.78133610316685,-87.74246215820312,2024,8,12
65,15,56,41.89440155029297,-87.69679260253906,2024,8,12
66,15,56,41.89485240328139,-87.76085839755294,2024,8,12
67,15,56,41.773722428541916,-87.56761052058293,2024,8,12
68,15,56,41.98194434426048,-87.78051341663708,2024,8,12
70,15,56,41.90216827392578,-87.76106262207031,2024,8,12
71,15,56,41.76582647624769,-87.5984165793971,2024,8,12
72,15,56,41.90975935194228,-87.73192545572917,2024,8,12
73,15,56,41.91513944927015,-87.63405595745957,2024,8,12
74,15,56,41.92427062988281,-87.73670959472656,2024,8,12
75,15,56,41.75952911376953,-87.67391204833984,2024,8,12
76,15,56,41.931182861328125,-87.80550384521484,2024,8,12
77,15,56,41.938716888427734,-87.75492559160504,2024,8,12
78,15,56,41.961788177490234,-87.65312194824219,2024,8,12
79,15,56,41.751739501953125,-87.56504179302014,2024,8,12
80,15,56,41.9527587890625,-87.79818210086307,2024,8,12
81,15,56,41.967979431152344,-87.7526215263035,2024,8,12
81W,15,56,41.9675962104172,-87.84645118088018,2024,8,12
82,15,56,41.83711054787707,-87.7169884069642,2024,8,12
84,15,56,41.99616622924805,-87.76457214355469,2024,8,12
85,15,56,41.98439176154859,-87.7683334350586,2024,8,12
85A,15,56,42.01181983947754,-87.78847122192383,2024,8,12
86,15,56,41.888248443603516,-87.7825698852539,2024,8,12
87,15,56,41.735485,-87.67893833333333,2024,8,12
88,15,56,41.970277574327255,-87.76729753282335,2024,8,12
90,15,56,41.889271666666666,-87.80497,2024,8,12
91,15,56,41.96559815657766,-87.77721906963147,2024,8,12
92,15,56,41.970516204833984,-87.76219177246094,2024,8,12
93,15,56,41.96845626831055,-87.7122802734375,2024,8,12
94,15,56,41.767730712890625,-87.67361450195312,2024,8,12
95,15,56,41.72085013756385,-87.68059833233173,2024,8,12
96,15,56,42.007904052734375,-87.66548919677734,2024,8,12
97,15,56,42.04642283121745,-87.74701283772787,2024,8,12
100,15,56,41.702728271484375,-87.5328503776999,2024,8,12
103,15,56,41.70701328400643,-87.63511337772492,2024,8,12
106,15,56,41.708736419677734,-87.5807876586914,2024,8,12
108,15,56,41.721408990713265,-87.64329690199632,2024,8,12
111,15,56,41.69267560518705,-87.61744936429537,2024,8,12
111A,15,56,41.708499908447266,-87.58193969726562,2024,8,12
112,15,56,41.7219737126277,-87.6239242553711,2024,8,12
115,15,56,41.72150802612305,-87.62483978271484,2024,8,12
119,15,56,41.67739633413461,-87.66875340388371,2024,8,12
120,15,56,41.888316549905916,-87.62513249094893,2024,8,12
121,15,56,41.877899169921875,-87.64002990722656,2024,8,12
124,15,56,41.89207458496094,-87.61088562011719,2024,8,12
125,15,56,41.894661666666664,-87.620305,2024,8,12
126,15,56,41.87670135498047,-87.7735366821289,2024,8,12
130,15,56,41.867591857910156,-87.6207776750837,2024,8,12
134,15,56,41.88682174682617,-87.63126635551453,2024,8,12
135,15,56,41.87813186645508,-87.63253021240234,2024,8,12
136,15,56,41.88682174682617,-87.62833743625217,2024,8,12
143,15,56,41.87527084350586,-87.62336730957031,2024,8,12
146,15,56,41.879371643066406,-87.62763977050781,2024,8,12
147,15,56,41.88418725820688,-87.6243186363807,2024,8,12
148,15,56,41.88613519003225,-87.62443986049918,2024,8,12
151,15,56,41.87815856933594,-87.62944793701172,2024,8,12
152,15,56,41.94457666666667,-87.83538833333333,2024,8,12
155,15,56,41.99760818481445,-87.69656117757161,2024,8,12
156,15,56,41.934186835038034,-87.63936815763775,2024,8,12
157,15,56,41.898441314697266,-87.6183090209961,2024,8,12
169,15,56,41.74893569946289,-87.75593566894531,2024,8,12
172,15,56,41.78780016691788,-87.60123344089673,2024,8,12
192,15,56,41.8060188293457,-87.62110137939453,2024,8,12
201,15,56,42.06438446044922,-87.70924984967267,2024,8,12
206,15,56,42.04248831007216,-87.69914097256131,2024,8,12
1,15,57,41.878270387649536,-87.62519693374634,2024,8,12
2,15,57,41.89098987579346,-87.62423706054688,2024,8,12
3,15,57,41.758219883359715,-87.61497550175108,2024,8,12
4,15,57,41.70017381147905,-87.60812516645952,2024,8,12
X4,15,57,41.72405678885324,-87.60446166992188,2024,8,12
6,15,57,41.88840866088867,-87.62406158447266,2024,8,12
7,15,57,41.87289810180664,-87.72563171386719,2024,8,12
8,15,57,41.881980895996094,-87.64736938476562,2024,8,12
8A,15,57,41.7510986328125,-87.62751770019531,2024,8,12
9,15,57,41.746511936187744,-87.66326999664307,2024,8,12
X9,15,57,41.94943537610642,-87.66899108886719,2024,8,12
10,15,57,41.79254913330078,-87.58087921142578,2024,8,12
11,15,57,41.992628437199,-87.71110398802038,2024,8,12
12,15,57,41.86568069458008,-87.75794971172627,2024,8,12
J14,15,57,41.883201599121094,-87.63547528174615,2024,8,12
15,15,57,41.79102720063308,-87.58670806884766,2024,8,12
18,15,57,41.859103217491736,-87.70388653094952,2024,8,12
20,15,57,41.88039155439897,-87.76273137872869,2024,8,12
21,15,57,41.84809333333333,-87.80926666666667,2024,8,12
22,15,57,41.8724365234375,-87.63065338134766,2024,8,12
24,15,57,41.76208305358887,-87.62960052490234,2024,8,12
26,15,57,41.88699063387784,-87.62461853027344,2024,8,12
28,15,57,41.80933380126953,-87.59149932861328,2024,8,12
29,15,57,41.749629974365234,-87.62451934814453,2024,8,12
30,15,57,41.751939554683496,-87.5863139668449,2024,8,12
31,15,57,41.838651666666664,-87.665785,2024,8,12
34,15,57,41.672079183287536,-87.62031555175781,2024,8,12
35,15,57,41.839056666666664,-87.60780833333334,2024,8,12
36,15,57,41.99818571223769,-87.6610985689385,2024,8,12
37,15,57,41.92525863647461,-87.65345764160156,2024,8,12
39,15,57,41.822736666666664,-87.60240666666667,2024,8,12
43,15,57,41.81760025024414,-87.64556884765625,2024,8,12
44,15,57,41.746192932128906,-87.65354919433594,2024,8,12
47,15,57,41.809622573852536,-87.5918586730957,2024,8,12
48,15,57,41.76068475511339,-87.67342376708984,2024,8,12
49,15,57,41.97850036621094,-87.68959045410156,2024,8,12
